date,source,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,up_13pct_34d,down_13pct_34d,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,net_advances,rana,ad_line,mcclellan_osc
2025-03-14,backfill,2647,5638.93994140625,524,91,0.6944,0.6488,159,633,60,363,19,48,223.0,1059.0,24.52,33.36,26.37,27.31,2051,500,42,72,1551,608.0,-13524,-2.81
2025-03-17,backfill,2648,5675.1201171875,400,126,1.4731,0.9041,175,584,68,369,21,46,252.0,949.0,28.74,36.4,29.19,35.23,1927,631,78,55,1296,506.65,-12228,26.61
2025-03-18,backfill,2648,5614.66015625,125,312,1.2446,0.8896,185,559,68,394,18,45,248.0,992.0,27.45,34.48,28.4,33.69,925,1608,60,92,-683,-269.64,-12911,12.82
2025-03-19,backfill,2648,5675.2900390625,324,102,1.3102,0.8516,200,529,71,346,23,36,276.0,919.0,30.51,36.9,31.04,42.41,1824,727,64,61,1097,430.03,-11814,35.94
2025-03-20,backfill,2648,5662.89013671875,176,229,1.8012,0.9157,185,553,58,332,19,39,230.0,1008.0,29.53,35.99,30.25,41.47,930,1622,51,81,-692,-271.16,-12506,20.48
2025-03-21,backfill,2649,5667.56005859375,197,232,1.2208,0.8716,184,533,67,298,21,38,236.0,961.0,27.6,34.96,28.24,38.69,947,1594,28,111,-647,-254.62,-13153,7.98
2025-03-24,backfill,2649,5767.56982421875,401,166,1.1748,1.3317,250,427,80,205,23,32,271.0,796.0,33.03,38.35,32.65,52.7,1844,702,47,56,1142,448.55,-12011,32.41
2025-03-25,backfill,2650,5776.64990234375,118,313,1.167,1.2087,248,442,86,199,24,34,234.0,904.0,30.38,37.62,30.19,48.34,904,1654,58,122,-750,-293.2,-12761,16.05
2025-03-26,backfill,2651,5712.2001953125,102,382,0.7519,1.0102,215,493,87,199,31,30,208.0,1012.0,29.42,36.63,29.39,46.02,955,1591,40,145,-636,-249.8,-13397,4.16
2025-03-27,backfill,2651,5693.31005859375,185,236,0.7547,1.1658,220,496,83,220,27,30,211.0,1016.0,30.97,36.51,29.99,46.96,1224,1329,52,125,-105,-41.13,-13502,4.4
2025-03-28,backfill,2652,5580.93994140625,62,607,0.5094,0.7726,177,593,80,232,23,32,184.0,1097.0,25.26,32.09,25.0,33.79,405,2174,34,286,-1769,-685.92,-15271,-27.66
2025-03-31,backfill,2652,5611.85009765625,109,428,0.293,0.5983,159,653,71,292,27,38,174.0,1155.0,24.51,31.49,23.98,32.39,1065,1502,56,330,-437,-170.24,-15708,-29.15
