date,close,sma21,cycle
2015-09-03,95.4118881225586,98.4018794468471,-21
2015-09-04,94.27681732177734,98.03758058093842,-22
2015-09-08,96.93457794189453,97.80599285307385,-23
2015-09-09,95.84562683105469,97.46718125116257,-24
2015-09-10,96.888427734375,97.24086725144159,-25
2015-09-11,97.42366790771484,97.0233412243071,1
2015-09-14,97.12837982177734,96.79966517857143,2
2015-09-15,98.27267456054688,96.62300654820034,3
2015-09-16,98.8263931274414,96.43228767031715,4
2015-09-17,98.86328887939453,96.26837339855376,5
2015-09-18,97.45716857910156,96.06958116803851,6
2015-09-21,97.76244354248047,96.0193575904483,7
2015-09-22,96.30084228515625,96.10519336518787,8
2015-09-23,96.37483978271484,96.36769394647507,9
2015-09-24,96.02333068847656,96.62971569242931,-1
2015-09-25,95.20924377441406,96.63588678269159,-2
2015-09-28,92.49876403808594,96.3982907249814,-3
2015-09-29,92.0177001953125,96.13866642543248,-4
2015-09-30,94.1361312866211,96.03748575846355,-5
2015-10-01,94.56169891357422,96.09983099074591,-6
2015-10-02,96.21758270263672,96.11578514462425,1
2015-10-05,97.59596252441406,96.21978868756976,2
2015-10-06,97.13338470458984,96.35581570579892,3
2015-10-07,97.71620178222656,96.39303588867188,4
2015-10-08,98.10470581054688,96.5006110781715,5
2015-10-09,98.54876708984375,96.57967485700335,6
2015-10-12,98.789306640625,96.64470527285621,7
2015-10-13,98.1510009765625,96.69340151832218,8
2015-10-14,97.99369812011719,96.68011692592076,9
2015-10-15,99.6033706665039,96.71711585635231,10
2015-10-16,100.01963806152344,96.77218010312035,11
2015-10-19,100.59320831298828,96.92151532854352,12
2015-10-20,100.0751724243164,97.03164527529762,13
2015-10-21,99.46458435058594,97.1822996593657,14
2015-10-22,101.49052429199219,97.42590368361701,15
2015-10-23,104.33049011230469,97.82148270379929,16
2015-10-26,104.39530944824219,98.25891440255302,17
2015-10-27,104.6080322265625,98.8355462210519,18
2015-10-28,105.47762298583984,99.47649492536273,19
2015-10-29,105.31111145019531,100.00863683791388,20
2015-10-30,104.83932495117188,100.498047601609,21
2015-11-02,106.02342987060547,100.96499270484561,22
2015-11-03,106.39344787597656,101.38392057872954,23
2015-11-04,106.4027099609375,101.82531701950799,24
2015-11-05,106.11590576171875,102.22530292329334,25
2015-11-06,106.1899185180664,102.61031305222284,26
2015-11-09,105.06130981445312,102.9204341343471,27
2015-11-10,104.79307556152344,103.20632789248512,28
2015-11-11,104.66356658935547,103.51645006452289,29
2015-11-12,103.6459732055664,103.78560602097284,-1
2015-11-13,101.61078643798828,103.88119724818638,-2
2015-11-16,103.07240295410156,104.02656700497582,-3
2015-11-17,103.13717651367188,104.14770834786552,-4
2015-11-18,105.1168441772461,104.38778795514789,1
2015-11-19,105.19082641601562,104.66046614873977,2
2015-11-20,105.90315246582031,104.87059129987445,3
2015-11-23,105.59786987304688,104.93094271705264,4
2015-11-24,105.50537872314453,104.98380315871466,5
2015-11-25,105.59786987304688,105.03093828473773,6
2015-11-27,105.74588775634766,105.04371279761905,7
2015-11-30,105.47762298583984,105.05164191836403,8
2015-12-01,106.53221893310547,105.13225591750373,9
2015-12-02,105.87539672851562,105.12520672026135,10
2015-12-03,104.08076477050781,105.01507895333427,-1
2015-12-04,106.5136947631836,105.02036394391742,1
2015-12-07,106.0326919555664,105.01640138171967,2
2015-12-08,106.04193878173828,105.00935472760882,3
2015-12-09,104.43228149414062,104.97940099807013,-1
2015-12-10,104.90409088134766,104.98468744187127,-2
2015-12-11,102.4896240234375,104.88116636730376,-3
2015-12-14,103.26667022705078,104.86310432070778,-4
2015-12-15,103.89571380615234,104.97191038585845,-5
2015-12-16,105.44062042236328,105.08468264625186,1
2015-12-17,103.9050064086914,105.12124597458612,-1
2015-12-18,101.91182708740234,104.96862611316499,-2
2015-12-21,103.04388427734375,104.86639077322823,-3
2015-12-22,103.72126770019531,104.76249149867466,-4
2015-12-23,104.49141693115234,104.70980326334636,-5
2015-12-24,104.47285461425781,104.66063544863746,-6
2015-12-28,104.41716766357422,104.60441153390067,-7
2015-12-29,106.05956268310547,104.61934843517486,1
2015-12-30,105.10383605957031,104.60154905773345,2
2015-12-31,103.79547882080078,104.47122810000465,-1
2016-01-04,101.60565185546875,104.26790691557385,-2
2016-01-05,101.4293212890625,104.1416477021717,-3
2016-01-06,100.45502471923828,103.85313960484096,-4
2016-01-07,97.30945587158203,103.43774741036552,-5
2016-01-08,96.51144409179688,102.98391432989212,-6
2016-01-11,96.808349609375,102.62086995442708,-7
2016-01-12,97.9311294555664,102.28882417224702,-8
2016-01-13,94.55355072021484,101.91091591971261,-9
2016-01-14,96.5671157836914,101.59188951764789,-10
2016-01-15,93.56997680664062,101.10018775576637,-11
2016-01-19,93.77411651611328,100.54463995070685,-12
2016-01-20,93.4864730834961,100.04851931617374,-13
2016-01-21,93.57926177978516,99.65173049200149,-14
2016-01-22,96.2887191772461,99.33005596342541,-15
2016-01-25,94.85978698730469,98.90808069138299,-16
2016-01-26,95.71343231201172,98.49008142380487,-17
2016-01-27,93.3287124633789,97.95940798804874,-18
2016-01-28,94.64636993408203,97.49413190569196,-19
2016-01-29,96.62275695800781,97.04476020449684,-20
2016-02-01,96.88257598876953,96.6532716296968,1
2016-02-02,94.78553009033203,96.22422645205543,-1
2016-02-03,94.33088684082031,95.8778090704055,-2
2016-02-04,94.32160186767578,95.53934624081566,-3
2016-02-05,91.0460433959961,95.09129951113746,-4
2016-02-08,89.65421295166016,94.72676413399833,-5
2016-02-09,89.37583923339844,94.38697342645554,-6
2016-02-10,89.71918487548828,94.04939415341332,-7
2016-02-11,89.58926391601562,93.65216246105376,-8
2016-02-12,90.95326232910156,93.48072015671502,-9
2016-02-16,93.00395202636719,93.31104569208054,-10
2016-02-17,95.11029815673828,93.38439432779948,1
2016-02-18,94.02464294433594,93.39632415771484,2
2016-02-19,94.3030014038086,93.4352064586821,3
2016-02-22,95.83406829833984,93.5425781976609,4
2016-02-23,94.25662231445312,93.44581168038505,5
2016-02-24,95.15673828125,93.45995221819196,6
2016-02-25,96.09387969970703,93.47806876046317,7
2016-02-26,95.9732437133789,93.60399881998698,8
2016-02-29,95.11029815673828,93.62609064011346,9
2016-03-01,98.16309356689453,93.6994400024414,10
2016-03-02,98.20021057128906,93.76218450637091,11
2016-03-03,98.01464080810547,93.91595168340774,12
2016-03-04,98.05176544189453,94.09313637869698,13
2016-03-07,97.4486083984375,94.2420414515904,14
2016-03-08,96.6413345336914,94.50848388671875,15
2016-03-09,97.26303100585938,94.87080855596633,16
2016-03-10,97.11454772949219,95.23931848435174,17
2016-03-11,98.81261444091797,95.6723389398484,18
2016-03-14,98.97966766357422,96.11950102306548,19
2016-03-15,98.94253540039062,96.49994259788876,20
2016-03-16,99.82406616210938,96.82470993768601,21
2016-03-17,99.76836395263672,97.04652259463356,22
2016-03-18,99.92473602294922,97.32747940790085,23
2016-03-21,100.3155746459961,97.6137924194336,24
2016-03-22,100.6227035522461,97.8418226696196,25
2016-03-23,99.79444122314453,98.10552833193825,26
2016-03-24,99.82237243652344,98.32770138695126,27
2016-03-28,99.68276977539062,98.49860091436477,28
2016-03-29,101.28348541259766,98.75146956670852,29
2016-03-30,101.77674865722656,99.0689195905413,30
2016-03-31,101.62783813476562,99.23390742710659,31
2016-04-01,102.7073745727539,99.4485342843192,32
2016-04-04,102.31652069091797,99.65338570731026,33
2016-04-05,101.33002471923828,99.80949329194569,34
2016-04-06,102.99588012695312,100.07364908854167,35
2016-04-07,101.51614379882812,100.30578286307198,36
2016-04-08,101.44172668457031,100.50476837158203,37
2016-04-11,101.0694351196289,100.69309634254093,38
2016-04-12,101.91632080078125,100.84089188348679,39
2016-04-13,103.21926879882812,101.04277765183221,40
2016-04-14,103.22855377197266,101.2468737647647,41
2016-04-15,102.96800231933594,101.39658501034691,42
2016-04-18,103.51705169677734,101.57509395054409,43
2016-04-19,102.88424682617188,101.71602303641183,44
2016-04-20,102.96800231933594,101.84232911609467,45
2016-04-21,102.97726440429688,101.95445106143043,46
2016-04-22,101.42310333251953,102.0320063999721,-1
2016-04-25,101.42310333251953,102.10823168073382,-2
2016-04-26,100.92984008789062,102.16761598132905,-3
2016-04-27,100.12018585205078,102.11222076416016,-4
2016-04-28,98.91033935546875,101.97572508312408,-5
2016-04-29,98.38914489746094,101.82150159563336,-6
2016-05-02,99.31981658935547,101.66018931070964,-7
2016-05-03,98.39844512939453,101.47361428397042,-8
2016-05-04,97.76560974121094,101.30388023739769,-9
2016-05-05,97.7376937866211,101.0534904116676,-10
2016-05-06,98.25886535644531,100.89838191441127,-11
2016-05-09,98.53804016113281,100.76011112758091,-12
2016-05-10,99.88751220703125,100.70382908412388,-13
2016-05-11,98.98477172851562,100.56423150925409,-14
2016-05-12,98.54735565185547,100.34175945463635,-15
2016-05-13,98.18441772460938,100.1015625,-16
2016-05-16,99.41288757324219,99.93227132161458,-17
2016-05-17,98.16578674316406,99.67744918096633,-18
2016-05-18,98.51942443847656,99.46960049583798,-19
2016-05-19,98.007568359375,99.23338935488746,-20
2016-05-20,99.08715057373047,99.0481458391462,1
2016-05-23,98.95686340332031,98.93070584251767,2
2016-05-24,100.93914794921875,98.90766034807477,3
2016-05-25,101.6650390625,98.94266982305618,4
2016-05-26,101.96286010742188,99.03041621616909,5
2016-05-27,102.49334716796875,99.20103563581195,6
2016-05-31,102.68876647949219,99.40577952067058,7
2016-06-01,102.69808197021484,99.56664930071149,8
2016-06-02,102.91214752197266,99.78158750988189,9
2016-06-03,102.4281997680664,100.00361560639881,10
2016-06-06,102.80046081542969,100.24469975062779,11
2016-06-07,102.53988647460938,100.44855789911179,12
2016-06-08,102.71669006347656,100.64754122779483,13
2016-06-09,102.5491714477539,100.77428690592448,14
2016-06-10,101.38585662841797,100.8886242821103,15
2016-06-13,100.53897094726562,100.98346310570126,-1
2016-06-14,100.53897094726562,101.09558468773251,-2
2016-06-15,100.2504653930664,101.13546934581939,-3
2016-06-16,100.54826354980469,101.24892062232608,-4
2016-06-17,99.36970520019531,101.28941018240792,-5
2016-06-20,99.99491882324219,101.38404591878255,-6
2016-06-21,100.31219482421875,101.442381359282,-7
2016-06-22,100.06956481933594,101.49536714099702,-8
2016-06-23,101.4972915649414,101.52194540841239,-9
2016-06-24,97.31681060791016,101.31488691057477,-10
2016-06-27,95.38524627685547,101.00166720435733,-11
2016-06-28,97.47544860839844,100.7627196539016,-12
2016-06-29,99.20174407958984,100.59667096819196,-13
2016-06-30,100.34952545166016,100.48483494349888,-14
2016-07-01,100.85340881347656,100.38679976690383,1
2016-07-05,100.23753356933594,100.28248232886905,-1
2016-07-06,101.05867767333984,100.19954027448382,1
