perf_1w,perf_1m,perf_3m,perf_6m,perf_1w_pctile,perf_3m_pctile,rs_1m,rs_3m,rs_6m,h_score,rel_volume,adr_pct,market_cap,vcs,atr_from_sma50,ema21_atr_dist,sma50_dist,sma20_dist,sma200_dist,high_52w,change_pct,avg_volume,pp_count_10d,dcr_pct,vol_5d_50d,close,his,day,t,rs21,rs126,px21,px63,px126,dollar_vol
0.0719183898,0.2404023402,1.0315757814,3.1973121626,0.8768,0.9843,91,98,99,85,0.6787952834,6.4846,326730000000.0,29.5,2.171,1.8268,0.1638429143,0.1254593264,1.1424414768,-0.0451167363,0.0269,5876735.0,1.0,0.1784,,504.0,False,2026-08-14,DELL,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,2961874440.0
0.0286405166,0.3316646618,0.3729032701,0.7637796458,0.6939,0.8905,95,87,93,57,0.8846319735,3.8802,3230000000.0,1.3,4.3727,2.7379,0.2043385982,0.1582055803,0.5694025978,-0.0198064678,0.0,336185.0,2.0,0.7606,,85.12,False,2026-08-14,DGII,95.23809523809523,99.20634920634922,90.47619047619048,96.82539682539682,98.4126984126984,28616067.200000003
0.0402414747,0.1763367262,0.3003563636,0.3842035104,0.7781,0.8539,85,82,82,79,1.2766828356,4.7585,11800000000.0,28.9,4.0222,1.8384,0.2367015893,0.1127153533,0.1460365477,-0.284016159,-0.004,3102650.0,1.0,0.3319,,61.79,False,2026-08-14,DOCU,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,191712743.5
0.0425123421,0.1956185346,0.367747217,0.3520026403,0.7895,0.8888,87,87,80,69,1.0789190643,4.7756,3120000000.0,0.1,3.336,2.2347,0.1895045749,0.1429741946,0.4289972976,-0.0344230945,0.0,148760.0,3.0,0.798,,200.84,False,2026-08-14,DXPE,100.0,100.0,100.0,100.0,100.0,29876958.400000002
0.0871314791,0.2209042749,0.2397406035,0.6368543595,0.9025,0.8051,89,76,90,65,1.3419876286,4.6622,2310000000.0,24.0,3.3543,1.6932,0.1853758972,0.0926340624,0.454828626,-0.0846844541,0.0,524595.0,2.0,0.7239,,60.29,False,2026-08-14,ECO,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,31627832.55
0.0929203526,0.1358808254,0.2710119379,0.805115637,0.9092,0.8343,78,79,93,72,0.6717155944,4.0321,2200000000.0,33.1,3.2988,2.0342,0.153417648,0.0990862,0.4767711416,-0.0001927937,0.0,384240.0,1.0,0.9923,,103.74,False,2026-08-14,ECPG,100.0,100.0,100.0,100.0,100.0,39861057.6
0.1357442433,0.407371328,0.713043536,0.4078284998,0.9473,0.9665,97,96,83,83,1.698276321,4.2435,9000000000.0,1.6,6.3186,4.2073,0.3663691609,0.263050528,0.3553491613,-0.0977412243,-0.001,1972235.0,5.0,0.7553,,86.59,True,2026-08-14,ESTC,100.0,100.0,100.0,100.0,100.0,170775828.65
0.0594885261,0.2378242216,0.5312375473,0.5710709629,0.8478,0.9398,91,93,88,80,0.8097190566,3.6956,39930000000.0,32.8,5.142,2.5436,0.2346096082,0.1195275583,0.3203268929,-0.0016504255,0.0,1647485.0,3.0,0.8974,,332.7,True,2026-08-14,EXPE,100.0,100.0,100.0,100.0,100.0,548118259.5
0.0567612964,0.1625343846,0.4129464055,0.7486188187,0.8409,0.9103,83,90,92,83,1.0086532419,4.592,3300000000.0,40.0,3.7734,1.9942,0.2095964965,0.1116964988,0.2592096945,-0.0995732952,0.0,10916140.0,0.0,0.775,,12.66,True,2026-08-14,FRSH,100.0,100.0,95.23809523809523,98.4126984126984,99.20634920634922,138198332.4
0.0785585696,0.4444981321,0.7605882532,0.6391018582,0.8895,0.9703,97,96,90,85,0.5814445596,6.6089,4780000000.0,1.6,4.7158,2.7928,0.4527786511,0.2689462283,0.6966807785,-0.1404365144,0.0023,6297075.0,4.0,0.5528,,30.0,False,2026-08-14,FSLY,95.23809523809523,84.12698412698413,95.23809523809523,98.4126984126984,93.65079365079364,188912250.0
0.108465632,0.3301587081,0.976415228,0.4473229999,0.9247,0.9826,95,98,85,61,0.7666104137,5.6683,2250000000.0,30.0,3.4522,2.1552,0.2432865655,0.1428571577,0.1552087979,-0.3896576552,0.0048,7830705.0,3.0,0.9123,,8.42,False,2026-08-14,GENI,95.23809523809523,99.20634920634922,100.0,100.0,100.0,65934536.1
