setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,SLV,2026-06-24,2026-07-13,13,-0.26,1.84,1.37,-14.0,52.89,51.0,3.57,0.64,-15.3,-21.3,-14.7,-7.1,-23.7,23.0,27.0,5.7,2,long,Long below MA200 — counter-trend,SLV_2026-06-24_001,Counter-trend (below MA200) — 三类之外,high
,SNDK,2026-06-24,2026-06-25,1,4.1,6.72,1.67,61.0,1958.0,1900.0,2.96,0.3,6.6,33.2,204.5,25.0,-16.8,81.0,56.0,10.0,3,long,Long in mixed structure,SNDK_2026-06-24_000,Other — 对不上三类,low
,SNDK,2026-06-24,2026-06-26,2,0.39,2.83,4.13,14.0,2149.98,2080.0,3.25,0.36,17.0,46.3,234.3,25.0,-8.7,81.0,56.0,10.0,2,long,Long in mixed structure,SNDK_2026-06-24_001,Other — 对不上三类,low
,ACMR,2026-06-23,2026-07-02,7,1.25,4.57,2.41,27.0,104.88,100.0,4.65,0.47,16.1,49.0,108.7,28.3,-5.9,86.0,61.0,10.5,2,long,Long in mixed structure,ACMR_2026-06-23_000,Other — 对不上三类,low
,FPS,2026-06-23,2026-06-25,2,-0.6,0.25,1.56,,62.07,58.3,6.07,0.74,8.0,33.1,,23.2,-6.0,83.0,58.0,8.6,1,long,Long in mixed structure,FPS_2026-06-23_000,Other — 对不上三类,low
,NAIL,2026-06-23,2026-07-07,10,0.9,2.78,1.99,32.0,47.79,45.0,5.84,0.83,17.7,17.0,-13.7,-0.6,0.4,20.0,55.0,7.8,3,long,Long below MA200 — counter-trend,NAIL_2026-06-23_000,Counter-trend (below MA200) — 三类之外,high
,SLV,2026-06-23,2026-07-13,14,-0.22,1.75,1.34,-13.0,53.0,51.0,3.77,0.74,-16.3,-21.5,-14.5,-6.2,-24.0,28.0,32.0,4.8,3,long,Long below MA200 — counter-trend,SLV_2026-06-23_000,Counter-trend (below MA200) — 三类之外,high
,DOCN,2026-06-22,2026-06-24,2,-0.86,2.14,1.82,-40.0,159.3,152.0,4.58,0.47,-5.6,14.4,114.9,21.2,-15.0,87.0,53.0,9.3,2,long,Long in mixed structure,DOCN_2026-06-22_000,Other — 对不上三类,low
,CRWD,2026-06-21,2026-06-22,1,-1.0,,,,699.12,680.0,2.73,1.96,305.7,394.5,471.4,21.9,255.9,77.0,58.0,5.7,1,long,Long in mixed structure,CRWD_2026-06-21_000,Breakout,high
,AVGO,2026-06-16,2026-06-23,5,-0.52,1.13,0.72,-46.0,390.97,370.0,5.36,0.82,-5.6,-4.3,9.4,1.4,-20.9,44.0,41.0,6.8,2,long,Pullback below MA50 — risk-on but stretched,AVGO_2026-06-16_000,Other — 对不上三类,low
,DOCN,2026-06-16,2026-06-23,5,4.23,3.65,5.39,116.0,172.98,169.0,2.3,0.28,4.0,29.0,140.2,24.0,-7.0,92.0,61.0,8.2,3,long,Long in mixed structure,DOCN_2026-06-16_000,Other — 对不上三类,low
,TZA,2026-06-16,2026-06-18,2,-0.52,,,,4.24,4.0,5.66,0.08,-90.4,-91.2,-93.6,-8.7,-92.0,4.0,40.0,7.1,2,long,Long below MA200 — counter-trend,TZA_2026-06-16_000,Counter-trend (below MA200) — 三类之外,high
,DDOG,2026-06-11,2026-06-17,4,-0.66,0.2,1.04,,236.4,225.0,4.82,0.76,2.8,35.1,58.6,31.5,-15.2,75.0,60.0,6.4,1,long,Pullback in uptrend,DDOG_2026-06-11_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,SNDK,2026-06-11,2026-06-24,9,2.91,8.63,5.36,34.0,1929.28,1880.0,2.55,0.33,21.0,52.2,242.4,25.7,1.8,99.0,68.0,7.9,3,long,Breakout / near 52W high,SNDK_2026-06-11_000,Breakout,high
,TQQQ,2026-06-11,2026-06-16,3,1.07,1.37,1.09,78.0,76.25,70.0,8.2,1.23,-3.1,13.5,38.4,17.2,-13.2,76.0,51.0,6.7,3,long,Long in mixed structure,TQQQ_2026-06-11_000,Other — 对不上三类,low
,CRDO,2026-06-10,2026-06-16,4,-1.03,0.97,2.83,-106.0,258.78,247.0,4.55,0.46,24.5,44.7,73.0,16.2,-1.0,86.0,64.0,10.8,2,long,Long in mixed structure,CRDO_2026-06-10_000,Breakout,high
,TQQQ,2026-06-10,2026-06-17,5,1.23,2.1,1.24,59.0,74.78,70.0,6.39,1.0,-5.1,12.5,36.1,18.5,-14.9,63.0,41.0,6.9,2,long,Long in mixed structure,TQQQ_2026-06-10_000,Other — 对不上三类,low
