date,high,low,close
2024-09-24,654.0,-849.0,-33.0
2024-09-25,744.0,-734.0,-399.0
2024-09-26,1284.0,-1193.0,-193.0
2024-09-27,1448.0,-969.0,31.0
2024-09-30,452.0,-820.0,-583.0
2024-10-01,905.0,-1302.0,669.0
2024-10-02,1063.0,-987.0,364.0
2024-10-03,722.0,-1136.0,142.0
2024-10-04,968.0,-1220.0,-339.0
2024-10-07,296.0,-882.0,-220.0
2024-10-08,964.0,-1408.0,-88.0
2024-10-09,905.0,-857.0,205.0
2024-10-10,682.0,-1034.0,-132.0
2024-10-11,791.0,-1100.0,111.0
2024-10-14,629.0,-579.0,23.0
2024-10-15,695.0,-617.0,74.0
2024-10-16,1194.0,-1061.0,222.0
2024-10-17,614.0,-768.0,235.0
2024-10-18,1067.0,-818.0,194.0
2024-10-21,254.0,-1170.0,-571.0
2024-10-22,602.0,-911.0,-96.0
2024-10-23,480.0,-1340.0,-474.0
2024-10-24,943.0,-1367.0,-240.0
2024-10-25,1386.0,-972.0,-400.0
2024-10-28,1266.0,-450.0,-370.0
2024-10-29,575.0,-1229.0,-320.0
2024-10-30,852.0,-777.0,107.0
2024-10-31,775.0,-891.0,-124.0
2024-11-01,1419.0,-958.0,249.0
2024-11-04,672.0,-86.0,168.0
2024-11-05,922.0,-1080.0,-240.0
2024-11-06,799.0,-658.0,33.0
2024-11-07,658.0,-735.0,497.0
2024-11-08,1034.0,-959.0,-15.0
2024-11-11,1014.0,-416.0,96.0
2024-11-12,537.0,-1058.0,-433.0
2024-11-13,1027.0,-1072.0,-157.0
2024-11-14,667.0,-1199.0,119.0
2024-11-15,955.0,-1320.0,-251.0
2024-11-18,630.0,-368.0,91.0
2024-11-19,608.0,-1280.0,403.0
2024-11-20,776.0,-1130.0,124.0
2024-11-21,918.0,-1011.0,-364.0
2024-11-22,955.0,-762.0,-82.0
2024-11-25,1706.0,-121.0,861.0
2024-11-26,857.0,-857.0,-190.0
2024-11-27,1189.0,-807.0,75.0
2024-11-29,1250.0,-119.0,-58.0
2024-12-02,574.0,-649.0,237.0
2024-12-03,655.0,-765.0,-81.0
2024-12-04,565.0,-715.0,115.0
2024-12-05,569.0,-1007.0,-669.0
2024-12-06,1145.0,-731.0,-118.0
2024-12-09,830.0,-423.0,-301.0
2024-12-10,561.0,-795.0,-101.0
2024-12-11,1194.0,-919.0,-200.0
2024-12-12,760.0,-807.0,-132.0
2024-12-13,414.0,-995.0,22.0
2024-12-16,526.0,-529.0,14.0
2024-12-17,548.0,-1434.0,-321.0
2024-12-18,623.0,-755.0,-94.0
2024-12-19,980.0,-1771.0,-788.0
2024-12-20,967.0,-1238.0,459.0
2024-12-23,520.0,-811.0,426.0
2024-12-24,925.0,-818.0,261.0
2024-12-26,448.0,-1202.0,-174.0
2024-12-27,788.0,-1457.0,-816.0
2024-12-30,513.0,-1418.0,-212.0
2024-12-31,1221.0,-1048.0,40.0
2025-01-02,1659.0,-474.0,47.0
2025-01-03,1210.0,-1230.0,632.0
2025-01-06,730.0,-671.0,351.0
2025-01-07,813.0,-1111.0,-81.0
2025-01-08,826.0,-1279.0,-450.0
2025-01-09,995.0,-1256.0,-105.0
2025-01-10,526.0,-1462.0,-12.0
2025-01-13,531.0,-1037.0,-621.0
2025-01-14,1232.0,-1066.0,280.0
2025-01-15,1954.0,-1097.0,296.0
2025-01-16,973.0,-779.0,239.0
2025-01-17,1375.0,-777.0,423.0
2025-01-21,1588.0,-202.0,401.0
2025-01-22,754.0,-539.0,-247.0
2025-01-23,550.0,-738.0,-234.0
2025-01-24,713.0,-637.0,245.0
2025-01-27,444.0,-471.0,-18.0
2025-01-28,829.0,-798.0,44.0
2025-01-29,689.0,-985.0,-108.0
2025-01-30,1622.0,-1175.0,-434.0
2025-01-31,887.0,-1344.0,246.0
2025-02-03,1312.0,-1551.0,827.0
2025-02-04,1057.0,-1127.0,45.0
2025-02-05,1185.0,-721.0,164.0
2025-02-06,1210.0,-407.0,-128.0
2025-02-07,890.0,-1167.0,-163.0
2025-02-10,1276.0,-206.0,360.0
2025-02-11,660.0,-1092.0,191.0
2025-02-12,864.0,-1877.0,-370.0
2025-02-13,1240.0,-848.0,126.0
2025-02-14,1363.0,-754.0,-440.0
2025-02-18,509.0,-327.0,301.0
2025-02-19,650.0,-930.0,-219.0
2025-02-20,1043.0,-710.0,-121.0
2025-02-21,1067.0,-608.0,-502.0
2025-02-24,793.0,-581.0,-553.0
2025-02-25,900.0,-955.0,-422.0
2025-02-26,1177.0,-950.0,-26.0
2025-02-27,966.0,-1049.0,-5.0
2025-02-28,870.0,-1229.0,214.0
2025-03-03,937.0,-1031.0,310.0
2025-03-04,1003.0,-1438.0,-76.0
2025-03-05,1285.0,-1342.0,-234.0
2025-03-06,1136.0,-1384.0,269.0
2025-03-07,1148.0,-1323.0,-156.0
2025-03-10,606.0,-1050.0,-33.0
2025-03-11,1095.0,-1299.0,-580.0
2025-03-12,1162.0,-1131.0,190.0
2025-03-13,1065.0,-1057.0,-317.0
2025-03-14,1383.0,-1102.0,228.0
2025-03-17,707.0,-573.0,-242.0
2025-03-18,970.0,-1079.0,-714.0
2025-03-19,1046.0,-1012.0,-151.0
2025-03-20,1290.0,-1173.0,6.0
2025-03-21,818.0,-1385.0,-407.0
2025-03-24,1683.0,-370.0,10.0
2025-03-25,892.0,-955.0,16.0
2025-03-26,659.0,-1204.0,-784.0
2025-03-27,643.0,-1155.0,-740.0
2025-03-28,866.0,-1170.0,-64.0
2025-03-31,665.0,-1242.0,-382.0
2025-04-01,1217.0,-1095.0,-195.0
2025-04-02,1066.0,-1401.0,279.0
2025-04-03,1033.0,-1497.0,-84.0
2025-04-04,991.0,-1779.0,-981.0
2025-04-07,1372.0,-1904.0,-765.0
2025-04-08,1876.0,-1422.0,-780.0
2025-04-09,1105.0,-1641.0,-594.0
2025-04-10,1684.0,-1764.0,-1071.0
2025-04-11,1236.0,-1772.0,-10.0
2025-04-14,1970.0,-1005.0,-590.0
2025-04-15,1174.0,-1287.0,-484.0
2025-04-16,1235.0,-1149.0,580.0
2025-04-17,1220.0,-1310.0,-191.0
2025-04-21,475.0,-1443.0,-507.0
2025-04-22,1908.0,-1291.0,-87.0
2025-04-23,1905.0,-1272.0,-257.0
2025-04-24,1097.0,-1196.0,-187.0
2025-04-25,1038.0,-970.0,-400.0
2025-04-28,731.0,-1072.0,-806.0
2025-04-29,968.0,-1076.0,470.0
2025-04-30,1019.0,-1375.0,124.0
2025-05-01,1182.0,-995.0,-165.0
2025-05-02,1671.0,-1283.0,-419.0
2025-05-05,780.0,-1176.0,-18.0
2025-05-06,681.0,-1198.0,262.0
2025-05-07,1116.0,-1017.0,358.0
2025-05-08,1496.0,-1264.0,-66.0
2025-05-09,1180.0,-1101.0,185.0
2025-05-12,1603.0,-735.0,-3.0
2025-05-13,969.0,-782.0,82.0
2025-05-14,876.0,-1173.0,356.0
2025-05-15,887.0,-1021.0,44.0
2025-05-16,807.0,-728.0,52.0
2025-05-19,527.0,-1682.0,-262.0
2025-05-20,858.0,-674.0,100.0
2025-05-21,722.0,-1475.0,-359.0
2025-05-22,802.0,-1698.0,-620.0
2025-05-23,1011.0,-1472.0,127.0
2025-05-27,1876.0,-261.0,549.0
2025-05-28,1167.0,-745.0,-617.0
2025-05-29,1310.0,-1393.0,334.0
2025-05-30,1036.0,-1246.0,202.0
2025-06-02,835.0,-981.0,-445.0
2025-06-03,1052.0,-844.0,77.0
2025-06-04,783.0,-965.0,-164.0
2025-06-05,955.0,-924.0,490.0
2025-06-06,1398.0,-1410.0,196.0
2025-06-09,955.0,-571.0,-76.0
2025-06-10,1186.0,-832.0,233.0
2025-06-11,1248.0,-1077.0,20.0
2025-06-12,845.0,-1329.0,234.0
2025-06-13,997.0,-1330.0,114.0
2025-06-16,1458.0,-639.0,-305.0
2025-06-17,634.0,-1118.0,-534.0
2025-06-18,742.0,-1138.0,115.0
2025-06-20,1265.0,-906.0,-466.0
2025-06-23,694.0,-531.0,-437.0
2025-06-24,1303.0,-1316.0,192.0
2025-06-25,838.0,-647.0,183.0
2025-06-26,1304.0,-1057.0,-152.0
2025-06-27,890.0,-541.0,-129.0
2025-06-30,767.0,-565.0,132.0
2025-07-01,942.0,-1255.0,407.0
2025-07-02,1142.0,-921.0,126.0
2025-07-03,899.0,-629.0,219.0
2025-07-07,297.0,-1123.0,-361.0
2025-07-08,763.0,-1519.0,-391.0
2025-07-09,1140.0,-857.0,340.0
2025-07-10,827.0,-618.0,53.0
2025-07-11,759.0,-1257.0,-177.0
2025-07-14,641.0,-950.0,495.0
2025-07-15,760.0,-993.0,-237.0
2025-07-16,1060.0,-1329.0,7.0
2025-07-17,1090.0,-1356.0,351.0
2025-07-18,1342.0,-1001.0,194.0
2025-07-21,1269.0,-311.0,246.0
2025-07-22,731.0,-1259.0,-100.0
2025-07-23,1049.0,-705.0,-156.0
2025-07-24,1020.0,-1048.0,12.0
2025-07-25,750.0,-860.0,0.0
2025-07-28,554.0,-829.0,-149.0
2025-07-29,921.0,-992.0,-416.0
2025-07-30,892.0,-854.0,-174.0
2025-07-31,1033.0,-1344.0,-70.0
2025-08-01,857.0,-1211.0,-128.0
2025-08-04,1220.0,-470.0,-108.0
2025-08-05,1015.0,-779.0,36.0
2025-08-06,1032.0,-1016.0,383.0
2025-08-07,1308.0,-803.0,-342.0
2025-08-08,974.0,-1150.0,-34.0
2025-08-11,658.0,-645.0,123.0
2025-08-12,1130.0,-1048.0,131.0
2025-08-13,1262.0,-481.0,326.0
2025-08-14,846.0,-1343.0,-359.0
2025-08-15,1057.0,-931.0,-270.0
2025-08-18,546.0,-652.0,-254.0
2025-08-19,786.0,-798.0,-37.0
2025-08-20,736.0,-984.0,64.0
2025-08-21,803.0,-1164.0,154.0
2025-08-22,1501.0,-1062.0,243.0
2025-08-25,319.0,-570.0,146.0
2025-08-26,671.0,-853.0,-275.0
